classifier,dataset,optimizer,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,wine,goa,0.126,0.211,0.064,0.789,3.6,0.277,47.084
svc,wine,goa,0.126,0.187,0.067,0.814,4.0,0.308,25.675
knn,wine,gwo,0.002,0.218,0.144,0.782,3.4,0.262,172.949
svc,wine,gwo,0.25,0.529,0.191,0.468,2.8,0.215,115.605
knn,wine,fa,0.128,0.348,0.112,0.654,6.8,0.523,6.474
svc,wine,fa,0.003,0.33,0.354,0.671,5.6,0.431,4.756
knn,wine,cs,0.003,0.134,0.119,0.868,4.4,0.338,63.869
svc,wine,cs,0.003,0.365,0.294,0.636,5.6,0.431,36.28
knn,ecoli,gwo,0.078,0.205,0.129,0.8,4.8,0.686,232.006
svc,ecoli,gwo,0.147,0.234,0.07,0.771,5.2,0.743,184.17
knn,ecoli,cs,0.149,0.262,0.072,0.743,5.0,0.714,77.757
svc,ecoli,cs,0.15,0.305,0.122,0.7,5.8,0.829,63.834
knn,ecoli,fa,0.218,0.319,0.073,0.686,5.8,0.829,5.627
svc,ecoli,fa,0.079,0.191,0.071,0.814,5.2,0.743,5.353
knn,ecoli,goa,0.147,0.291,0.118,0.714,5.8,0.829,56.858
svc,ecoli,goa,0.151,0.305,0.104,0.7,5.4,0.771,43.057
knn,ionosphere,goa,0.145,0.239,0.065,0.762,10.8,0.318,567.595
svc,ionosphere,goa,0.074,0.182,0.121,0.82,12.8,0.376,41.338
knn,ionosphere,gwo,0.143,0.264,0.084,0.734,4.4,0.129,1037.553
svc,ionosphere,gwo,0.002,0.171,0.096,0.829,4.0,0.118,174.828
knn,ionosphere,fa,0.147,0.215,0.078,0.789,18.6,0.547,75.895
svc,ionosphere,fa,0.004,0.144,0.089,0.859,15.6,0.459,8.199
knn,ionosphere,cs,0.005,0.186,0.103,0.818,19.0,0.559,712.843
svc,ionosphere,cs,0.004,0.059,0.05,0.945,13.6,0.4,55.069
knn,parkinsons,goa,0.003,0.276,0.252,0.725,7.2,0.327,554.641
svc,parkinsons,goa,0.125,0.324,0.168,0.675,4.2,0.191,28.0
knn,parkinsons,cs,0.006,0.154,0.091,0.85,11.6,0.527,706.366
svc,parkinsons,cs,0.127,0.225,0.049,0.775,4.8,0.218,35.0
knn,parkinsons,fa,0.127,0.178,0.06,0.825,10.0,0.455,34.037
svc,parkinsons,fa,0.005,0.252,0.175,0.75,10.2,0.464,3.214
knn,parkinsons,gwo,0.125,0.249,0.156,0.75,2.4,0.109,1095.119
svc,parkinsons,gwo,0.0,0.248,0.207,0.75,1.6,0.073,108.668
knn,spectf-heart,goa,0.146,0.23,0.082,0.771,18.4,0.418,576.206
svc,spectf-heart,goa,0.215,0.286,0.045,0.714,13.4,0.305,56.189
knn,spectf-heart,gwo,0.284,0.426,0.127,0.571,8.4,0.191,1014.323
svc,spectf-heart,gwo,0.283,0.311,0.034,0.686,1.4,0.032,198.395
knn,spectf-heart,cs,0.218,0.332,0.085,0.671,29.2,0.664,705.747
svc,spectf-heart,cs,0.144,0.244,0.095,0.757,15.2,0.345,68.306
knn,spectf-heart,fa,0.147,0.303,0.122,0.7,27.6,0.627,51.956
svc,spectf-heart,fa,0.287,0.345,0.053,0.657,22.6,0.514,5.179
knn,iris,cs,0.002,0.07,0.132,0.933,1.8,0.45,58.842
svc,iris,cs,0.002,0.268,0.269,0.733,1.8,0.45,29.409
knn,iris,fa,0.002,0.102,0.133,0.9,1.4,0.35,3.064
svc,iris,fa,0.002,0.07,0.135,0.933,1.6,0.4,2.436
