classifier,dataset,optimizer,all_fitness,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,wine,goa,"[0.15096153846153845, 0.26346153846153847, 0.14326923076923076, 0.03846153846153846, 0.18241758241758244]",0.038,0.156,0.072,0.871,5.2,0.4,9.198
svc,wine,goa,"[0.25576923076923075, 0.16634615384615384, 0.3682692307692308, 0.030769230769230764, 0.29560439560439555]",0.031,0.223,0.116,0.793,4.8,0.369,6.775
knn,wine,gwo,"[0.13557692307692307, 0.2403846153846154, 0.3528846153846154, 0.015384615384615382, 0.030769230769230764]",0.015,0.155,0.128,0.85,2.6,0.2,32.796
svc,wine,gwo,"[0.2403846153846154, 0.015384615384615382, 0.6980769230769232, 0.2725274725274725, 0.6736263736263737]",0.015,0.38,0.265,0.6,2.6,0.2,23.83
knn,wine,fa,"[0.04615384615384615, 0.03846153846153846, 0.15865384615384615, 0.29560439560439555, 0.18241758241758244]",0.038,0.144,0.095,0.889,5.8,0.446,1.587
svc,wine,fa,"[0.05384615384615383, 0.8413461538461539, 0.7134615384615385, 0.31098901098901094, 0.17472527472527477]",0.054,0.419,0.307,0.589,6.4,0.492,1.11
knn,wine,dummy,"[0.16634615384615384, 0.16634615384615384, 0.19711538461538458, 0.09999999999999998, 0.19780219780219782]",0.1,0.166,0.036,0.896,9.4,0.723,0.895
svc,wine,dummy,"[0.27884615384615385, 0.19711538461538458, 0.7288461538461539, 0.4472527472527473, 0.2131868131868132]",0.197,0.373,0.199,0.661,8.8,0.677,0.607
knn,wine,de,"[0.25576923076923075, 0.26346153846153847, 0.14326923076923076, 0.2725274725274725, 0.1516483516483517]",0.143,0.217,0.057,0.789,3.6,0.277,8.711
svc,wine,de,"[0.12788461538461537, 0.13557692307692307, 0.26346153846153847, 0.143956043956044, 0.03846153846153846]",0.038,0.142,0.072,0.871,3.4,0.262,6.416
knn,wine,aco,"[0.023076923076923075, 0.13557692307692307, 0.47307692307692306, 0.5296703296703296, 0.28021978021978017]",0.023,0.288,0.193,0.704,2.8,0.215,8.649
svc,wine,aco,"[0.13557692307692307, 0.023076923076923075, 0.2403846153846154, 0.28021978021978017, 0.143956043956044]",0.023,0.165,0.09,0.839,2.6,0.2,6.544
knn,wine,abco,"[0.12788461538461537, 0.26346153846153847, 0.023076923076923075, 0.15934065934065939, 0.5373626373626373]",0.023,0.222,0.175,0.782,3.4,0.262,53.242
svc,wine,abco,"[0.13557692307692307, 0.4807692307692308, 0.8259615384615384, 0.6736263736263737, 0.5604395604395603]",0.136,0.535,0.231,0.443,4.4,0.338,40.016
knn,wine,da,"[0.03846153846153846, 0.03846153846153846, 0.03846153846153846, 0.17472527472527477, 0.31868131868131866]",0.038,0.122,0.112,0.914,5.8,0.446,8.79
svc,wine,da,"[0.15096153846153845, 0.04615384615384615, 0.03846153846153846, 0.29560439560439555, 0.4472527472527473]",0.038,0.196,0.156,0.832,5.8,0.446,6.415
knn,wine,pso,"[0.25576923076923075, 0.24807692307692308, 0.24807692307692308, 0.023076923076923075, 0.143956043956044]",0.023,0.184,0.09,0.821,3.0,0.231,8.179
svc,wine,pso,"[0.030769230769230764, 0.47307692307692306, 0.4653846153846154, 0.9461538461538461, 0.6813186813186813]",0.031,0.519,0.301,0.457,4.0,0.308,5.989
knn,wine,ba,"[0.030769230769230764, 0.7057692307692308, 0.13557692307692307, 0.15934065934065939, 0.4318681318681319]",0.031,0.293,0.245,0.711,4.2,0.323,16.463
svc,wine,ba,"[0.27115384615384613, 0.27115384615384613, 0.15096153846153845, 0.0692307692307692, 0.832967032967033]",0.069,0.319,0.268,0.704,6.8,0.523,11.823
