dataset,abco,aco,ba,cs,da,de,dummy,fa,ga,goa,gwo,pso,woa
breast-cancer,3.0,1.0,9.0,4.0,10.0,12.0,6.0,5.0,8.0,7.0,13.0,11.0,2.0
dermatology,2.0,13.0,9.0,5.0,12.0,7.0,11.0,4.0,3.0,8.0,1.0,6.0,10.0
ecoli,10.0,6.5,8.0,11.0,6.5,1.0,12.0,2.5,4.0,13.0,5.0,2.5,9.0
ionosphere,3.0,7.0,10.0,9.0,13.0,5.5,12.0,2.0,4.0,5.5,1.0,8.0,11.0
iris,1.0,5.5,12.0,5.5,8.0,8.0,10.0,2.0,3.5,13.0,8.0,11.0,3.5
parkinsons,7.5,1.0,12.0,10.0,9.0,3.0,11.0,13.0,5.0,7.5,2.0,4.0,6.0
sonar,7.0,4.0,12.0,10.0,1.0,13.0,11.0,6.0,9.0,5.0,2.0,3.0,8.0
spambase-460,11.0,6.0,2.0,7.0,3.0,9.5,12.0,8.0,5.0,13.0,1.0,4.0,9.5
spectf-heart,3.0,9.0,5.0,11.0,12.0,9.0,9.0,7.0,1.0,6.0,2.0,13.0,4.0
waveform5000,5.0,12.0,9.0,4.0,11.0,7.0,13.0,10.0,3.0,6.0,1.0,2.0,8.0
wdbc,5.0,6.5,6.5,11.0,10.0,13.0,12.0,9.0,2.0,4.0,1.0,3.0,8.0
wine,1.0,10.0,9.0,2.0,13.0,4.0,12.0,11.0,3.0,8.0,7.0,5.0,6.0
yeast,4.0,11.0,3.0,13.0,9.0,6.0,7.0,12.0,10.0,8.0,2.0,5.0,1.0
zoo,6.0,4.0,7.0,3.0,2.0,8.0,1.0,5.0,9.0,13.0,10.0,11.0,12.0
Mean,4.89,6.89,8.11,7.54,8.54,7.57,9.93,6.89,4.96,8.36,4.0,6.32,7.0
