dataset,abco,aco,ba,cs,da,de,dummy,fa,ga,goa,gwo,pso,woa
breast-cancer,3.0,7.0,10.0,12.0,6.0,13.0,4.0,8.0,2.0,9.0,1.0,5.0,11.0
dermatology,3.5,13.0,9.0,7.0,11.0,3.5,12.0,1.0,5.0,8.0,6.0,10.0,2.0
diabetes,9.0,8.0,12.5,2.0,10.0,1.0,12.5,11.0,6.0,5.0,3.0,7.0,4.0
ecoli,5.0,13.0,12.0,1.0,8.0,7.0,10.0,11.0,9.0,6.0,3.5,3.5,2.0
ionosphere,2.5,6.5,4.5,10.5,13.0,10.5,6.5,4.5,2.5,1.0,12.0,9.0,8.0
iris,1.5,1.5,3.0,7.5,7.5,9.0,13.0,10.0,5.0,11.0,5.0,5.0,12.0
parkinsons,6.0,1.0,8.0,4.0,7.0,9.0,12.0,3.0,5.0,11.0,2.0,10.0,13.0
sonar,11.0,8.0,10.0,12.0,1.0,5.0,13.0,9.0,6.0,2.0,4.0,3.0,7.0
spambase-460,2.0,5.0,7.0,3.0,11.0,8.0,13.0,9.0,10.0,12.0,1.0,6.0,4.0
spectf-heart,1.0,2.0,11.5,3.0,7.0,8.0,11.5,4.0,6.0,10.0,5.0,9.0,13.0
waveform5000,9.0,12.5,10.0,5.0,11.0,7.0,12.5,8.0,1.0,6.0,2.0,3.0,4.0
wdbc,8.0,1.0,10.0,5.0,11.0,13.0,12.0,9.0,2.0,6.5,4.0,3.0,6.5
wine,3.0,6.0,7.0,12.0,13.0,5.0,9.0,10.0,1.0,11.0,2.0,8.0,4.0
yeast,3.0,4.5,8.0,9.0,12.0,4.5,10.5,6.0,13.0,10.5,2.0,1.0,7.0
zoo,6.0,12.0,4.0,10.0,9.0,3.0,8.0,11.0,5.0,13.0,7.0,2.0,1.0
Mean,4.9,6.73,8.43,6.87,9.17,7.1,10.63,7.63,5.23,8.13,3.97,5.63,6.57
