dataset,abco,aco,ba,cs,da,de,dummy,fa,ga,goa,gwo,pso,woa
breast-cancer,6.0,1.0,12.0,10.0,5.0,8.0,13.0,9.0,2.5,11.0,4.0,2.5,7.0
dermatology,5.0,1.0,10.0,7.0,12.0,8.0,13.0,11.0,3.0,9.0,2.0,4.0,6.0
diabetes,5.0,1.0,10.5,7.0,9.0,6.0,12.5,10.5,2.5,12.5,2.5,4.0,8.0
ecoli,5.5,1.0,11.0,5.5,4.0,9.5,12.0,9.5,2.5,13.0,2.5,7.5,7.5
ionosphere,4.5,1.0,11.5,7.0,9.0,10.0,13.0,11.5,4.5,6.0,2.0,3.0,8.0
iris,5.0,5.0,10.0,5.0,5.0,5.0,12.0,11.0,5.0,13.0,5.0,5.0,5.0
parkinsons,4.0,1.0,12.0,6.0,10.0,9.0,13.0,11.0,2.0,8.0,3.0,5.0,7.0
sonar,3.0,1.0,12.0,10.0,11.0,8.0,13.0,9.0,2.0,4.0,6.0,5.0,7.0
spambase-460,5.0,1.0,12.0,9.0,8.0,11.0,13.0,10.0,3.0,6.0,2.0,4.0,7.0
spectf-heart,4.0,1.0,12.0,6.0,9.0,11.0,13.0,10.0,2.0,5.0,8.0,3.0,7.0
waveform5000,4.0,1.0,12.0,8.0,11.0,10.0,13.0,9.0,3.0,6.0,2.0,5.0,7.0
wdbc,5.0,1.0,12.0,6.0,8.0,10.0,13.0,11.0,3.0,9.0,2.0,4.0,7.0
wine,5.0,2.0,9.0,6.0,8.0,7.0,13.0,10.0,3.0,12.0,1.0,4.0,11.0
yeast,7.0,1.0,10.0,5.0,2.5,7.0,12.0,9.0,4.0,13.0,7.0,2.5,11.0
zoo,5.0,1.0,10.0,6.5,11.0,8.0,13.0,12.0,4.0,9.0,2.0,3.0,6.5
Mean,4.87,1.33,11.07,6.93,8.17,8.5,12.77,10.23,3.07,9.1,3.4,4.1,7.47
