classifier,dataset,optimizer,all_fitness,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,wine,goa,"[0.08461538461538459, 0.6471153846153845, 0.42980769230769234, 0.3096153846153846, 0.3173076923076923, 0.3096153846153846, 0.3173076923076923, 0.5423076923076923, 0.2048076923076923, 0.5423076923076923]",0.085,0.37,0.162,0.688,11.6,0.892,8.82
svc,wine,goa,"[0.18942307692307692, 0.32499999999999996, 0.19711538461538458, 0.19711538461538458, 0.42980769230769234, 0.21249999999999997, 0.6548076923076923, 0.55, 0.3096153846153846, 0.3019230769230769]",0.189,0.337,0.153,0.725,11.6,0.892,6.308
knn,wine,gwo,"[0.12788461538461537, 0.12788461538461537, 0.015384615384615382, 0.12788461538461537, 0.3528846153846154, 0.2403846153846154, 0.015384615384615382, 0.3528846153846154, 0.12788461538461537, 0.2403846153846154]",0.015,0.173,0.115,0.825,2.0,0.154,28.678
svc,wine,gwo,"[0.1201923076923077, 0.1201923076923077, 0.015384615384615382, 0.3528846153846154, 0.015384615384615382, 0.4576923076923077, 0.023076923076923075, 0.030769230769230764, 0.2326923076923077, 0.12788461538461537]",0.015,0.15,0.145,0.85,1.9,0.146,19.676
knn,wine,fa,"[0.0923076923076923, 0.42980769230769234, 0.18942307692307692, 0.5346153846153846, 0.42980769230769234, 0.55, 0.09999999999999998, 0.4221153846153846, 0.42980769230769234, 0.775]",0.092,0.395,0.203,0.662,11.9,0.915,1.435
svc,wine,fa,"[0.3096153846153846, 0.32499999999999996, 0.55, 0.3173076923076923, 0.5423076923076923, 0.2048076923076923, 0.32499999999999996, 0.55, 0.4221153846153846, 0.4221153846153846]",0.205,0.397,0.114,0.662,12.1,0.931,1.114
knn,wine,dummy,"[0.2048076923076923, 0.3173076923076923, 0.19711538461538458, 0.32499999999999996, 0.42980769230769234, 0.3096153846153846, 0.2048076923076923, 0.4375, 0.3173076923076923, 0.32499999999999996]",0.197,0.307,0.081,0.762,12.1,0.931,0.841
svc,wine,dummy,"[0.3019230769230769, 0.5423076923076923, 0.2048076923076923, 0.3096153846153846, 0.5423076923076923, 0.0923076923076923, 0.3173076923076923, 0.3173076923076923, 0.3019230769230769, 0.3096153846153846]",0.092,0.324,0.128,0.738,11.4,0.877,0.559
knn,wine,de,"[0.14326923076923076, 0.13557692307692307, 0.25576923076923075, 0.13557692307692307, 0.3682692307692308, 0.12788461538461537, 0.2403846153846154, 0.023076923076923075, 0.26346153846153847, 0.030769230769230764]",0.023,0.172,0.103,0.838,3.4,0.262,8.05
svc,wine,de,"[0.13557692307692307, 0.37596153846153846, 0.15865384615384615, 0.4221153846153846, 0.04615384615384615, 0.3096153846153846, 0.3019230769230769, 0.39903846153846156, 0.37596153846153846, 0.4375]",0.046,0.296,0.129,0.738,7.8,0.6,5.585
knn,wine,abco,"[0.13557692307692307, 0.47307692307692306, 0.015384615384615382, 0.3605769230769231, 0.3528846153846154, 0.13557692307692307, 0.13557692307692307, 0.3682692307692308, 0.24807692307692308, 0.023076923076923075]",0.015,0.225,0.15,0.775,2.9,0.223,51.666
svc,wine,abco,"[0.25576923076923075, 0.5855769230769231, 0.030769230769230764, 0.24807692307692308, 0.6903846153846154, 0.023076923076923075, 0.47307692307692306, 0.14326923076923076, 0.7134615384615385, 0.5855769230769231]",0.023,0.375,0.253,0.612,3.4,0.262,36.935
knn,wine,da,"[0.06153846153846153, 0.18942307692307692, 0.06153846153846153, 0.37596153846153846, 0.4375, 0.55, 0.1817307692307692, 0.2865384615384615, 0.3173076923076923, 0.05384615384615383]",0.054,0.252,0.163,0.8,9.3,0.715,8.847
svc,wine,da,"[0.05384615384615383, 0.06153846153846153, 0.3096153846153846, 0.42980769230769234, 0.32499999999999996, 0.5269230769230769, 0.5423076923076923, 0.5192307692307692, 0.5423076923076923, 0.40673076923076923]",0.054,0.372,0.177,0.675,10.3,0.792,6.314
knn,wine,pso,"[0.25576923076923075, 0.023076923076923075, 0.12788461538461537, 0.26346153846153847, 0.015384615384615382, 0.3682692307692308, 0.16634615384615384, 0.1817307692307692, 0.3605769230769231, 0.24807692307692308]",0.015,0.201,0.116,0.812,4.2,0.323,8.176
svc,wine,pso,"[0.24807692307692308, 0.6240384615384615, 0.8413461538461539, 0.5115384615384615, 0.7134615384615385, 0.5423076923076923, 0.3605769230769231, 0.5038461538461538, 0.6009615384615384, 0.3528846153846154]",0.248,0.53,0.169,0.462,6.0,0.462,5.549
knn,wine,ba,"[0.25576923076923075, 0.5932692307692308, 0.26346153846153847, 0.37596153846153846, 0.03846153846153846, 0.3682692307692308, 0.03846153846153846, 0.03846153846153846, 0.03846153846153846, 0.04615384615384615]",0.038,0.206,0.187,0.812,4.8,0.369,16.153
svc,wine,ba,"[0.03846153846153846, 0.3836538461538462, 0.6086538461538461, 0.05384615384615383, 0.06153846153846153, 0.03846153846153846, 0.7211538461538461, 0.48846153846153845, 0.7211538461538461, 0.04615384615384615]",0.038,0.316,0.284,0.7,6.0,0.462,10.938
knn,wine,woa,"[0.015384615384615382, 0.25576923076923075, 0.15865384615384615, 0.3528846153846154, 0.13557692307692307, 0.2403846153846154, 0.023076923076923075, 0.2865384615384615, 0.3528846153846154, 0.15865384615384615]",0.015,0.198,0.115,0.812,3.8,0.292,8.304
