dataset,abco,ba,cs,da,de,dummy,fa,ga,goa,gwo,pso,woa
breast-cancer,4.0,8.0,1.5,9.0,6.0,12.0,10.0,1.5,11.0,5.0,7.0,3.0
dermatology,4.0,8.0,2.0,9.0,5.0,12.0,10.0,6.0,11.0,1.0,7.0,3.0
diabetes,3.0,6.0,1.0,9.5,8.0,12.0,9.5,5.0,11.0,2.0,7.0,4.0
ecoli,1.0,4.0,2.0,11.5,6.0,9.0,10.0,8.0,11.5,3.0,7.0,5.0
ionosphere,4.0,5.5,1.0,9.0,8.0,10.0,11.0,7.0,12.0,3.0,5.5,2.0
iris,4.0,4.0,4.0,9.0,4.0,10.5,12.0,4.0,10.5,4.0,8.0,4.0
parkinsons,4.0,7.0,1.0,9.0,8.0,10.0,11.5,5.0,11.5,2.0,6.0,3.0
sonar,2.0,5.0,1.0,9.0,7.0,11.0,10.0,8.0,12.0,4.0,6.0,3.0
spambase-460,4.0,6.0,1.0,11.0,8.0,9.0,10.0,7.0,12.0,3.0,5.0,2.0
spectf-heart,4.0,6.0,1.0,9.0,8.0,11.0,12.0,3.0,10.0,5.0,7.0,2.0
waveform5000,2.0,7.0,3.0,12.0,6.0,11.0,9.0,5.0,10.0,1.0,8.0,4.0
wdbc,4.0,5.0,1.0,9.0,6.0,11.0,10.0,8.0,12.0,2.0,7.0,3.0
wine,3.0,8.0,2.0,9.0,4.0,12.0,11.0,7.0,10.0,1.0,6.0,5.0
yeast,2.0,5.0,9.0,7.0,4.0,12.0,10.0,8.0,11.0,1.0,6.0,3.0
zoo,3.0,7.0,2.0,9.0,6.0,12.0,11.0,5.0,10.0,1.0,8.0,4.0
Mean,3.2,6.1,2.17,9.4,6.27,10.97,10.47,5.83,11.03,2.53,6.7,3.33
