dataset,abco,ba,cs,da,de,dummy,fa,ga,goa,gwo,pso,woa
breast-cancer,6.5,4.0,1.0,10.0,8.0,9.0,11.0,4.0,12.0,6.5,2.0,4.0
dermatology,8.0,2.0,3.0,11.0,6.0,9.0,12.0,1.0,10.0,4.0,5.0,7.0
ecoli,11.0,10.0,8.0,5.0,6.0,9.0,2.0,3.0,4.0,12.0,7.0,1.0
ionosphere,1.0,9.0,4.0,7.0,10.0,8.0,11.0,6.0,12.0,2.0,3.0,5.0
iris,4.0,7.0,1.0,11.0,2.0,9.0,12.0,3.0,10.0,8.0,5.0,6.0
parkinsons,6.0,5.0,8.0,9.0,1.0,11.0,10.0,2.0,7.0,3.0,12.0,4.0
sonar,3.0,10.0,1.0,7.0,6.0,5.0,8.0,12.0,9.0,11.0,4.0,2.0
spambase-460,8.0,4.0,2.0,9.0,3.0,11.0,10.0,6.0,12.0,1.0,5.0,7.0
spectf-heart,2.0,7.0,1.0,11.0,5.0,12.0,9.0,3.0,8.0,10.0,6.0,4.0
waveform5000,3.0,4.5,2.0,10.0,6.0,12.0,11.0,9.0,8.0,1.0,7.0,4.5
wdbc,6.0,7.0,1.0,11.0,4.0,9.0,10.0,8.0,12.0,2.0,5.0,3.0
wine,7.0,8.0,2.0,11.0,5.0,10.0,12.0,4.0,6.0,1.0,9.0,3.0
yeast,9.0,5.0,2.0,11.0,6.0,7.0,8.0,1.0,12.0,3.5,3.5,10.0
zoo,5.0,3.0,7.0,8.0,1.0,10.0,12.0,6.0,11.0,2.0,4.0,9.0
Mean,5.68,6.11,3.07,9.36,4.93,9.36,9.86,4.86,9.5,4.79,5.54,4.96
